trial_id,variable_label,variable_label_raw,categorical_label,variable_type,units,arm_label,arm_role,arm_total_n,n,percent,mean,sd,raw_value
NCT03495102,eGFR category,eGFR category (mL/min/1.73 m2),eGFR category,categorical,mL/min/1.73 m2,DU 4.5 mg,treatment,614,33,5.4,0.0,0.0,33 (5.4)
NCT03495102,eGFR category,eGFR category (mL/min/1.73 m2),eGFR category,categorical,mL/min/1.73 m2,Total,other,1842,91,4.9,0.0,0.0,91 (4.9)
NCT03495102,eGFR category,eGFR category (mL/min/1.73 m2),eGFR category,categorical,mL/min/1.73 m2,DU 1.5 mg,treatment,612,171,27.9,0.0,0.0,171 (27.9)
NCT03495102,eGFR category,eGFR category (mL/min/1.73 m2),eGFR category,categorical,mL/min/1.73 m2,DU 3.0 mg,treatment,616,198,32.1,0.0,0.0,198 (32.1)
NCT03495102,eGFR category,eGFR category (mL/min/1.73 m2),eGFR category,categorical,mL/min/1.73 m2,DU 4.5 mg,treatment,614,184,30.0,0.0,0.0,184 (30.0)
NCT03495102,eGFR category,eGFR category (mL/min/1.73 m2),eGFR category,categorical,mL/min/1.73 m2,Total,other,1842,553,30.0,0.0,0.0,553 (30.0)
NCT03495102,eGFR category,eGFR category (mL/min/1.73 m2),eGFR category,categorical,mL/min/1.73 m2,DU 1.5 mg,treatment,612,408,66.7,0.0,0.0,408 (66.7)
NCT03495102,eGFR category,eGFR category (mL/min/1.73 m2),eGFR category,categorical,mL/min/1.73 m2,DU 3.0 mg,treatment,616,393,63.8,0.0,0.0,393 (63.8)
NCT03495102,eGFR category,eGFR category (mL/min/1.73 m2),eGFR category,categorical,mL/min/1.73 m2,DU 4.5 mg,treatment,614,397,64.7,0.0,0.0,397 (64.7)
NCT03495102,eGFR category,eGFR category (mL/min/1.73 m2),eGFR category,categorical,mL/min/1.73 m2,Total,other,1842,1198,65.0,0.0,0.0,1198 (65.0)
NCT03495102,SBP,SBP (mmHg),,continuous,mmHg,DU 1.5 mg,treatment,612,0,0.0,132.1,14.2,132.1 6 14.2
NCT03495102,SBP,SBP (mmHg),,continuous,mmHg,DU 3.0 mg,treatment,616,0,0.0,131.1,14.1,131.1 6 14.1
NCT03495102,SBP,SBP (mmHg),,continuous,mmHg,DU 4.5 mg,treatment,614,0,0.0,132.1,14.0,132.1 6 14.0
NCT03495102,SBP,SBP (mmHg),,continuous,mmHg,Total,other,1842,0,0.0,131.8,14.1,131.8 6 14.1
NCT03495102,DBP,DBP (mmHg),,continuous,mmHg,DU 1.5 mg,treatment,612,0,0.0,78.8,9.3,78.8 6 9.3
NCT03495102,DBP,DBP (mmHg),,continuous,mmHg,DU 3.0 mg,treatment,616,0,0.0,78.4,8.7,78.4 6 8.7
NCT03495102,DBP,DBP (mmHg),,continuous,mmHg,DU 4.5 mg,treatment,614,0,0.0,79.0,9.0,79.0 6 9.0
NCT03495102,DBP,DBP (mmHg),,continuous,mmHg,Total,other,1842,0,0.0,78.7,9.0,78.7 6 9.0
NCT03495102,HR,HR (bpm),,continuous,bpm,DU 1.5 mg,treatment,612,0,0.0,75.6,10.1,75.6 6 10.1
NCT03495102,HR,HR (bpm),,continuous,bpm,DU 3.0 mg,treatment,616,0,0.0,75.3,9.5,75.3 6 9.5
NCT03495102,HR,HR (bpm),,continuous,bpm,DU 4.5 mg,treatment,614,0,0.0,75.5,10.3,75.5 6 10.3
NCT03495102,HR,HR (bpm),,continuous,bpm,Total,other,1842,0,0.0,75.5,10.0,75.5 6 10.0
NCT03495102,FSG,FSG (mg/dL),,continuous,mg/dL,DU 1.5 mg,treatment,612,0,0.0,185.0,52.0,185.0 6 52.0
NCT03495102,FSG,FSG (mg/dL),,continuous,mg/dL,DU 3.0 mg,treatment,616,0,0.0,184.0,54.4,184.0 6 54.4
NCT03495102,FSG,FSG (mg/dL),,continuous,mg/dL,DU 4.5 mg,treatment,614,0,0.0,183.4,48.0,183.4 6 48.0
NCT03495102,FSG,FSG (mg/dL),,continuous,mg/dL,Total,other,1842,0,0.0,184.1,51.5,184.1 6 51.5
NCT03548935,Age,Age — yr,,continuous,years,Semaglutide,treatment,1306,0,0.0,46.0,13.0,46±13
NCT03548935,Age,Age — yr,,continuous,years,Placebo,control,655,0,0.0,47.0,12.0,47±12
NCT03548935,Female sex,Female sex — no. (%),,categorical,,Semaglutide,treatment,1306,955,73.1,0.0,0.0,955 (73.1)
NCT03548935,Female sex,Female sex — no. (%),,categorical,,Placebo,control,655,498,76.0,0.0,0.0,498 (76.0)
NCT03548935,Race or ethnic group,White,Race or ethnic group,categorical,,Semaglutide,treatment,1306,973,74.5,0.0,0.0,973 (74.5)
NCT03548935,Race or ethnic group,White,Race or ethnic group,categorical,,Placebo,control,655,499,76.2,0.0,0.0,499 (76.2)
NCT03548935,Race or ethnic group,Asian,Race or ethnic group,categorical,,Semaglutide,treatment,1306,181,13.9,0.0,0.0,181 (13.9)
NCT03548935,Race or ethnic group,Asian,Race or ethnic group,categorical,,Placebo,control,655,80,12.2,0.0,0.0,80 (12.2)
NCT03548935,Race or ethnic group,Black or African American,Race or ethnic group,categorical,,Semaglutide,treatment,1306,72,5.5,0.0,0.0,72 (5.5)
NCT03548935,Race or ethnic group,Black or African American,Race or ethnic group,categorical,,Placebo,control,655,39,6.0,0.0,0.0,39 (6.0)
NCT03548935,Race or ethnic group,Other,Race or ethnic group,categorical,,Semaglutide,treatment,1306,80,6.1,0.0,0.0,80 (6.1)
NCT03548935,Race or ethnic group,Other,Race or ethnic group,categorical,,Placebo,control,655,37,5.6,0.0,0.0,37 (5.6)
NCT03548935,Hispanic or Latino ethnic group,Hispanic or Latino ethnic group — no. (%),,categorical,,Semaglutide,treatment,1306,150,11.5,0.0,0.0,150 (11.5)
NCT03548935,Hispanic or Latino ethnic group,Hispanic or Latino ethnic group — no. (%),,categorical,,Placebo,control,655,86,13.1,0.0,0.0,86 (13.1)
NCT03548935,Body weight,Body weight — kg,,continuous,kg,Semaglutide,treatment,1306,0,0.0,105.4,22.1,105.4±22.1
NCT03548935,Body weight,Body weight — kg,,continuous,kg,Placebo,control,655,0,0.0,105.2,21.5,105.2±21.5
NCT03548935,Body-mass index,Body-mass index‡,,continuous,,Semaglutide,treatment,1306,0,0.0,37.8,6.7,37.8±6.7
NCT03548935,Body-mass index,Body-mass index‡,,continuous,,Placebo,control,655,0,0.0,38.0,6.5,38.0±6.5
NCT03548935,Waist circumference,Waist circumference — cm,,continuous,cm,Semaglutide,treatment,1306,0,0.0,114.6,14.8,114.6±14.8
NCT03548935,Waist circumference,Waist circumference — cm,,continuous,cm,Placebo,control,655,0,0.0,114.8,14.4,114.8±14.4
NCT03548935,Glycated hemoglobin,Glycated hemoglobin — %,,continuous,%,Semaglutide,treatment,1306,0,0.0,5.7,0.3,5.7±0.3
NCT03548935,Glycated hemoglobin,Glycated hemoglobin — %,,continuous,%,Placebo,control,655,0,0.0,5.7,0.3,5.7±0.3
NCT03548935,Prediabetes,Prediabetes — no. (%)§,,categorical,,Semaglutide,treatment,1306,593,45.4,0.0,0.0,593 (45.4)
NCT03548935,Prediabetes,Prediabetes — no. (%)§,,categorical,,Placebo,control,655,263,40.2,0.0,0.0,263 (40.2)
NCT03548935,Systolic blood pressure,Systolic,Blood pressure,continuous,mm Hg,Semaglutide,treatment,1306,0,0.0,126.0,14.0,126±14
NCT03548935,Systolic blood pressure,Systolic,Blood pressure,continuous,mm Hg,Placebo,control,655,0,0.0,127.0,14.0,127±14
NCT03548935,Diastolic blood pressure,Diastolic,Blood pressure,continuous,mm Hg,Semaglutide,treatment,1306,0,0.0,80.0,10.0,80±10
NCT03548935,Diastolic blood pressure,Diastolic,Blood pressure,continuous,mm Hg,Placebo,control,655,0,0.0,80.0,10.0,80±10
NCT03548935,Pulse,Pulse — beats/min,,continuous,beats/min,Semaglutide,treatment,1306,0,0.0,72.0,10.0,72±10
NCT03548935,Pulse,Pulse — beats/min,,continuous,beats/min,Placebo,control,655,0,0.0,72.0,10.0,72±10
NCT03548935,Total cholesterol,Total cholesterol,Lipid levels,continuous,mg/dl,Semaglutide,treatment,1306,0,0.0,189.6,20.5,189.6 (20.5)
NCT03548935,Total cholesterol,Total cholesterol,Lipid levels,continuous,mg/dl,Placebo,control,655,0,0.0,192.1,19.4,192.1 (19.4)
NCT03548935,HDL cholesterol,HDL cholesterol,Lipid levels,continuous,mg/dl,Semaglutide,treatment,1306,0,0.0,49.4,25.6,49.4 (25.6)
NCT03548935,HDL cholesterol,HDL cholesterol,Lipid levels,continuous,mg/dl,Placebo,control,655,0,0.0,49.5,25.0,49.5 (25.0)
NCT03548935,LDL cholesterol,LDL cholesterol,Lipid levels,continuous,mg/dl,Semaglutide,treatment,1306,0,0.0,110.3,31.6,110.3 (31.6)
NCT03548935,LDL cholesterol,LDL cholesterol,Lipid levels,continuous,mg/dl,Placebo,control,655,0,0.0,112.5,29.8,112.5 (29.8)
NCT03548935,VLDL cholesterol,VLDL cholesterol,Lipid levels,continuous,mg/dl,Semaglutide,treatment,1306,0,0.0,24.5,45.8,24.5 (45.8)
NCT03548935,VLDL cholesterol,VLDL cholesterol,Lipid levels,continuous,mg/dl,Placebo,control,655,0,0.0,24.9,46.5,24.9 (46.5)
NCT03548935,Free fatty acids,Free fatty acids,Lipid levels,continuous,mg/dl,Semaglutide,treatment,1306,0,0.0,12.3,57.9,12.3 (57.9)
NCT03548935,Free fatty acids,Free fatty acids,Lipid levels,continuous,mg/dl,Placebo,control,655,0,0.0,12.7,53.8,12.7 (53.8)
NCT03548935,Triglycerides,Triglycerides,Lipid levels,continuous,mg/dl,Semaglutide,treatment,1306,0,0.0,126.2,47.4,126.2 (47.4)
NCT03548935,Triglycerides,Triglycerides,Lipid levels,continuous,mg/dl,Placebo,control,655,0,0.0,127.9,49.0,127.9 (49.0)
NCT03548935,Estimated glomerular filtration rate,Estimated glomerular filtration rate — geometric mean ml/min/1.73 m2 (coefficient of variation)‖,,continuous,ml/min/1.73 m2,Semaglutide,treatment,1306,0,0.0,96.3,18.7,96.3 (18.7)
NCT03548935,Estimated glomerular filtration rate,Estimated glomerular filtration rate — geometric mean ml/min/1.73 m2 (coefficient of variation)‖,,continuous,ml/min/1.73 m2,Placebo,control,655,0,0.0,95.9,18.3,95.9 (18.3)
NCT03548935,Dyslipidemia,Dyslipidemia — no. (%),Coexisting conditions at the time of screening,categorical,,Semaglutide,treatment,1306,499,38.2,0.0,0.0,499 (38.2)
NCT03548935,Dyslipidemia,Dyslipidemia — no. (%),Coexisting conditions at the time of screening,categorical,,Placebo,control,655,226,34.5,0.0,0.0,226 (34.5)
NCT03548935,Hypertension,Hypertension — no. (%),Coexisting conditions at the time of screening,categorical,,Semaglutide,treatment,1306,472,36.1,0.0,0.0,472 (36.1)
NCT03548935,Hypertension,Hypertension — no. (%),Coexisting conditions at the time of screening,categorical,,Placebo,control,655,234,35.7,0.0,0.0,234 (35.7)
NCT03548935,Knee osteoarthritis,Knee osteoarthritis — no. (%),Coexisting conditions at the time of screening,categorical,,Semaglutide,treatment,1306,173,13.2,0.0,0.0,173 (13.2)
NCT03548935,Knee osteoarthritis,Knee osteoarthritis — no. (%),Coexisting conditions at the time of screening,categorical,,Placebo,control,655,102,15.6,0.0,0.0,102 (15.6)
NCT03548935,Obstructive sleep apnea,Obstructive sleep apnea — no. (%),Coexisting conditions at the time of screening,categorical,,Semaglutide,treatment,1306,159,12.2,0.0,0.0,159 (12.2)
NCT03548935,Obstructive sleep apnea,Obstructive sleep apnea — no. (%),Coexisting conditions at the time of screening,categorical,,Placebo,control,655,71,10.8,0.0,0.0,71 (10.8)
NCT03548935,Asthma or chronic obstructive pulmonary disease,Asthma or chronic obstructive pulmonary disease — no. (%),Coexisting conditions at the time of screening,categorical,,Semaglutide,treatment,1306,147,11.3,0.0,0.0,147 (11.3)
NCT03548935,Asthma or chronic obstructive pulmonary disease,Asthma or chronic obstructive pulmonary disease — no. (%),Coexisting conditions at the time of screening,categorical,,Placebo,control,655,80,12.2,0.0,0.0,80 (12.2)
NCT03548935,Nonalcoholic fatty liver disease,Nonalcoholic fatty liver disease — no. (%),Coexisting conditions at the time of screening,categorical,,Semaglutide,treatment,1306,101,7.7,0.0,0.0,101 (7.7)
NCT03548935,Nonalcoholic fatty liver disease,Nonalcoholic fatty liver disease — no. (%),Coexisting conditions at the time of screening,categorical,,Placebo,control,655,62,9.5,0.0,0.0,62 (9.5)
NCT03548935,Polycystic ovarian syndrome,Polycystic ovarian syndrome — no./total no. (%)††,Coexisting conditions at the time of screening,categorical,,Semaglutide,treatment,955,62,6.5,0.0,0.0,62/955 (6.5)
NCT03548935,Polycystic ovarian syndrome,Polycystic ovarian syndrome — no./total no. (%)††,Coexisting conditions at the time of screening,categorical,,Placebo,control,498,34,6.8,0.0,0.0,34/498 (6.8)
NCT03548935,Coronary artery disease,Coronary artery disease — no. (%),Coexisting conditions at the time of screening,categorical,,Semaglutide,treatment,1306,32,2.5,0.0,0.0,32 (2.5)
NCT03548935,Coronary artery disease,Coronary artery disease — no. (%),Coexisting conditions at the time of screening,categorical,,Placebo,control,655,17,2.6,0.0,0.0,17 (2.6)
NCT03548935,No. of coexisting conditions at screening,None,No. of coexisting conditions at screening,categorical,,Semaglutide,treatment,1306,328,25.1,0.0,0.0,328 (25.1)
NCT03548935,No. of coexisting conditions at screening,None,No. of coexisting conditions at screening,categorical,,Placebo,control,655,163,24.9,0.0,0.0,163 (24.9)
NCT03548935,No. of coexisting conditions at screening,1,No. of coexisting conditions at screening,categorical,,Semaglutide,treatment,1306,337,25.8,0.0,0.0,337 (25.8)
NCT03548935,No. of coexisting conditions at screening,1,No. of coexisting conditions at screening,categorical,,Placebo,control,655,187,28.5,0.0,0.0,187 (28.5)
NCT03548935,No. of coexisting conditions at screening,2,No. of coexisting conditions at screening,categorical,,Semaglutide,treatment,1306,298,22.8,0.0,0.0,298 (22.8)
NCT03548935,No. of coexisting conditions at screening,2,No. of coexisting conditions at screening,categorical,,Placebo,control,655,135,20.6,0.0,0.0,135 (20.6)
NCT03548935,No. of coexisting conditions at screening,3,No. of coexisting conditions at screening,categorical,,Semaglutide,treatment,1306,183,14.0,0.0,0.0,183 (14.0)
NCT03548935,No. of coexisting conditions at screening,3,No. of coexisting conditions at screening,categorical,,Placebo,control,655,96,14.7,0.0,0.0,96 (14.7)
NCT03548935,No. of coexisting conditions at screening,4,No. of coexisting conditions at screening,categorical,,Semaglutide,treatment,1306,96,7.4,0.0,0.0,96 (7.4)
NCT03548935,No. of coexisting conditions at screening,4,No. of coexisting conditions at screening,categorical,,Placebo,control,655,43,6.6,0.0,0.0,43 (6.6)
NCT03548935,No. of coexisting conditions at screening,≥5,No. of coexisting conditions at screening,categorical,,Semaglutide,treatment,1306,64,4.9,0.0,0.0,64 (4.9)
NCT03548935,No. of coexisting conditions at screening,≥5,No. of coexisting conditions at screening,categorical,,Placebo,control,655,31,4.7,0.0,0.0,31 (4.7)
NCT03548935,SF-36,Physical functioning score,SF-36‡‡,continuous,,Semaglutide,treatment,1306,0,0.0,51.0,6.9,51.0±6.9
NCT03548935,SF-36,Physical functioning score,SF-36‡‡,continuous,,Placebo,control,655,0,0.0,50.8,7.9,50.8±7.9
NCT03548935,SF-36,Physical component summary score,SF-36‡‡,continuous,,Semaglutide,treatment,1306,0,0.0,51.1,7.3,51.1±7.3
NCT03548935,SF-36,Physical component summary score,SF-36‡‡,continuous,,Placebo,control,655,0,0.0,51.1,7.9,51.1±7.9
